Minisector,SAI,BOT,Fastest
0,280.4887969924812,283.97678788571426,BOT
1,120.47481885756692,118.22075792067686,SAI
2,159.19779220999237,158.41768536934242,SAI
3,208.63514748014651,210.0970926026331,BOT
4,158.50930831315787,158.93535443455784,BOT
5,243.01980434521465,239.06835622654688,SAI
6,202.98192376772505,199.38945311047618,SAI
7,132.76403963291344,130.33690486666666,SAI
8,232.94274214119426,238.5265511560998,BOT
9,274.4775092191759,282.69869331747896,BOT
10,282.37923504358616,286.4319217189803,BOT
11,147.7218943047619,139.5328493087428,SAI
12,215.67071432727272,216.72579310545453,BOT
13,268.15204244176215,268.08238830650504,SAI
14,256.76507425989075,256.66468132857443,SAI
15,99.64285031963003,98.16346200153158,SAI
16,219.4457016813328,219.3934774109091,SAI
17,269.1509524342857,271.0259850745218,BOT
18,291.9203843181287,298.54470403492064,BOT
19,304.27703753673603,313.4594875977143,BOT
20,310.19845941064426,322.53129138133335,BOT
21,280.8082544506868,277.1487324749963,SAI
22,147.86321988238757,142.32813321107838,SAI
23,232.30047898701298,233.91788210146578,BOT
24,276.71349792232814,282.67048825227516,BOT
25,,297.0,BOT
