Minisector,PIA,LEC,Fastest
0,289.47723614907164,287.581810932321,PIA
1,308.0995516750849,305.21720411390345,PIA
2,312.6571850454257,305.6606829950938,PIA
3,198.34996541334158,201.8198385583473,LEC
4,237.72142249362074,234.0118638455944,PIA
5,224.14417080200718,223.39987038384928,PIA
6,206.57630466031745,205.13256333063427,PIA
7,235.06587472544172,228.49358913795734,PIA
8,272.53072966724386,265.9606639579613,PIA
9,275.75239845971606,277.2511915423084,LEC
10,173.70016285467787,176.61668690591407,LEC
11,240.13568168766963,237.40009560915985,PIA
12,116.8326461292658,121.06820534257054,LEC
13,226.05191786385095,221.31305989250663,PIA
14,279.31322424110243,278.03097547826087,PIA
15,295.77067136296296,293.924589202963,PIA
16,216.56086385686285,226.4788249579233,LEC
17,190.34005029492735,186.79723746441627,PIA
18,269.42482806012123,269.10041577600856,PIA
19,296.18538760524507,293.4898307456,PIA
20,308.0092924609529,304.8020642060606,PIA
21,307.9370623077469,306.11549377180205,PIA
22,282.2056207714091,267.9102780327961,PIA
23,116.95397142314462,122.7307560932902,LEC
24,243.3566529955267,250.7516673980875,LEC
25,276.0324589385367,,PIA
