Minisector,NOR,ALO,Fastest
0,274.4910276063492,272.97746389932155,NOR
1,294.77466958444506,294.6012152,NOR
2,290.74183325866665,293.4722822971362,ALO
3,187.24597082143208,176.03832429931973,NOR
4,116.46859981529934,117.95995084810124,ALO
5,236.33888330603816,232.02983790107527,NOR
6,280.82126390165325,276.53767063812495,NOR
7,291.3691522778594,284.5046667093333,NOR
8,178.59179489780294,179.83481671526746,ALO
9,135.98546489620603,137.27012855149735,ALO
10,248.63499606567473,246.55958254222224,NOR
11,285.7297694479168,285.41264657677124,NOR
12,297.5765556398268,295.52048635555553,NOR
13,279.56002635152606,277.9413580246914,NOR
14,293.51311912228573,294.30268135238947,ALO
15,290.8768128857515,293.6102386895238,ALO
16,243.07177386666666,252.5519337207766,ALO
17,222.94086796493286,221.63526245772005,NOR
18,276.171191964921,273.59143383351727,NOR
19,295.90356755875257,293.1335068444444,NOR
20,294.70524460485495,291.9405958952523,NOR
21,227.37382175834648,230.44372184577574,ALO
22,253.87126664247646,250.6365401833961,NOR
23,136.9243204977607,142.41296963576315,ALO
24,210.04080580988557,202.9329237202721,NOR
25,256.2875008,254.36805511111115,NOR
