Minisector,HAD,LEC,Fastest
0,300.32273880380956,300.4947222044445,LEC
1,150.03458094093278,152.55851679253968,LEC
2,216.67130941701458,210.97986267990382,HAD
3,285.9031357962482,286.1302578944219,LEC
4,312.5105788464816,311.78088507809525,HAD
5,315.55188813333336,312.0963042074074,HAD
6,180.77028387858758,171.76907311583497,HAD
7,117.28690906338161,120.56491904011465,LEC
8,251.7435093832073,253.74668032902997,LEC
9,293.3010666933333,289.5319903051852,HAD
10,298.2692815230075,289.2753807253717,HAD
11,138.10140636098197,135.72277746572243,HAD
12,172.0905773514359,180.85319486036857,LEC
13,241.8674131466062,242.56870424085008,LEC
14,180.53398173306718,185.31654695725106,LEC
15,196.87155237823688,199.37260208496897,LEC
16,195.5393928819625,199.4950343279121,LEC
17,233.21246422124742,236.48490406704764,LEC
18,279.471190292437,280.1092618311111,LEC
19,298.85434745747887,289.53461714430836,HAD
20,249.51165111862684,241.74484676155842,HAD
21,200.77526362453332,202.93163710085472,LEC
22,184.39924851435387,193.5393992636746,LEC
23,268.3073767170868,272.7288349121693,LEC
24,298.2789622177778,301.4411149543487,LEC
25,302.5687504,,HAD
