Minisector,SAI,GAS,Fastest
0,249.86012596657147,250.77221904598932,GAS
1,119.69663177193596,116.20985203554994,SAI
2,256.02121201965963,260.3638648455214,GAS
3,302.9333773488552,304.9894051558045,GAS
4,304.32032064610524,308.0990963901876,GAS
5,311.98358149274725,319.35269282816427,GAS
6,314.813742315873,332.65164666031257,GAS
7,313.2000609188571,336.08280436218297,GAS
8,183.76253713314057,178.664431911549,SAI
9,181.80923539374092,173.49589268791289,SAI
10,170.8400510220358,173.26650522028947,GAS
11,169.10111403067964,163.66947483958123,SAI
12,251.3621576626163,247.26700839564475,SAI
13,268.74703942066003,256.10902597402594,SAI
14,278.2239722446828,267.6533497353038,SAI
15,267.6202225879365,269.00743733632623,GAS
16,166.9711050331108,162.38956672020214,SAI
17,175.6649411918992,175.7794284075241,GAS
18,231.05504225613444,226.65083454747452,SAI
19,279.7562289377289,280.3632923146812,GAS
20,301.1306130831911,301.9106593857567,GAS
21,307.0580116752726,309.7916,GAS
22,305.2421330901745,307.88602980773607,GAS
23,249.55927458990053,248.1026127635805,SAI
24,108.67083958450594,111.63281967866149,GAS
25,222.0999936,222.6785737142857,GAS
