Minisector,PER,NOR,Fastest
0,264.3578407137948,264.27644135970695,PER
1,249.18256434567903,244.18858175712307,PER
2,167.1611354211795,167.60291205072036,NOR
3,247.49314199161904,251.13435095580863,NOR
4,272.2218410524791,269.93315209275363,PER
5,196.46068105770308,194.7521345359368,PER
6,122.56149049938756,121.05351380537232,PER
7,160.32711253853657,161.24782085610232,NOR
8,258.01252978649603,260.7114954403565,NOR
9,176.01897047017542,181.27534137657656,NOR
10,185.3881872980213,185.00999713304225,PER
11,259.2684995413333,260.65981506212376,NOR
12,249.8489401914779,259.76689546238464,NOR
13,257.4711305377289,269.8463894193013,NOR
14,284.0690520950964,288.28420705335884,NOR
15,285.1790388935818,283.3771767652174,PER
16,150.78570367976567,145.85604783479792,PER
17,239.0538678095238,239.27160063656945,NOR
18,284.71642824986293,282.7924115115624,PER
19,296.99829541818184,296.95884718961037,PER
20,300.53219684848483,301.5960826344336,NOR
21,304.9866539877672,305.9092074011849,NOR
22,154.48797544977646,155.94844324718497,NOR
23,92.28786225014181,90.95539424190315,PER
24,180.45333113904763,175.38000405464643,PER
25,246.791664,244.77916586666666,PER
