Minisector,VER,TSU,Fastest
0,277.8210309039859,265.66124965333336,VER
1,302.4635560330328,286.0154135627052,VER
2,307.8116208923249,285.9161688927864,VER
3,124.34550909564148,118.03534515226362,VER
4,197.16143321387946,187.63153110491427,VER
5,256.512201989418,250.06989614880052,VER
6,143.6802547980209,135.58374098370913,VER
7,201.21700630728608,198.5923777183653,VER
8,257.1665522906667,254.37206206740723,VER
9,278.38805668705584,277.1736937402801,VER
10,236.11319859327133,227.31675700900206,VER
11,176.21671662281838,171.44091249186343,VER
12,193.90516297863317,187.518653141946,VER
13,136.3672197103752,136.4378301339827,TSU
14,172.26506983105472,167.28086464256234,VER
15,160.4022548397369,158.37578952891525,VER
16,215.74180537142857,215.7295475768617,VER
17,234.06964177724672,227.13428887266957,VER
18,241.43567464918956,234.776939696903,VER
19,236.04362365737373,225.51636766654298,VER
20,146.62688647335037,144.37880729428596,VER
21,135.4794403151235,128.3488271355902,VER
22,172.08657231746034,167.2239510318555,VER
23,154.42178843531022,143.77426486700872,VER
24,225.95469763151516,226.68174798184455,TSU
25,254.7857170285714,,VER
