Minisector,ALB,RUS,Fastest
0,277.5197271113879,275.7096921859364,ALB
1,299.46106439505706,298.06579888126987,ALB
2,298.1328251442268,300.5280451753383,RUS
3,190.6004354503503,191.5999826691224,RUS
4,118.43029012463684,114.70825244678711,ALB
5,236.12957867913968,236.68248022957582,RUS
6,282.1961988494964,281.3879045984107,ALB
7,299.23242383481,299.4745823893333,RUS
8,175.7063276426321,175.4419741691986,ALB
9,142.28952911829353,137.49758530154267,ALB
10,252.0818043162926,248.5317610593428,ALB
11,292.13693166572597,287.92925403904763,ALB
12,304.06446394122446,301.5211460208428,ALB
13,276.9555489063451,281.9947712602597,RUS
14,303.1976325368691,304.772895158033,RUS
15,304.88138582284625,314.9557702804891,RUS
16,249.070579337313,248.2344301487339,ALB
17,213.97392504581458,220.31011690948282,RUS
18,277.6132121616931,275.6795560133883,ALB
19,306.3834294945879,304.7225301257143,ALB
20,315.010107494321,315.05524077485717,RUS
21,232.39301758893208,230.2840989701763,ALB
22,256.83490372063545,258.0420266810582,RUS
23,139.74533254315148,134.67191328203944,ALB
24,215.65866859780755,198.106241297909,ALB
25,,253.23500178285713,RUS
