Minisector,NOR,GAS,Fastest
0,276.3124550101325,274.6808011758274,NOR
1,302.33117917090914,307.04121375492065,GAS
2,315.4722112902564,327.16107958204077,GAS
3,321.60854340840336,338.96705359960583,GAS
4,324.11314100512817,347.4583146123428,GAS
5,326.5917658920635,347.4750903182222,GAS
6,208.54504769876894,193.24276493131657,NOR
7,109.38004027250123,103.6742966190556,NOR
8,190.1771516415563,180.6302889847619,NOR
9,264.2926758844919,265.88579997777776,GAS
10,290.288138690709,300.62711318031745,GAS
11,176.13006825324263,135.19912476002048,NOR
12,94.69428265705216,97.3804403185937,GAS
13,109.86987092104613,115.42291017419572,GAS
14,222.78254087341992,218.97222373402596,NOR
15,199.647706446753,190.01462003692998,NOR
16,232.1996385518679,225.3773424231884,NOR
17,191.13551153231583,178.06781151535787,NOR
18,242.5053030884726,239.7220474328889,NOR
19,278.44186871,282.55832832739566,GAS
20,252.72576887667526,231.94773963975757,NOR
21,151.76635421688889,142.60838659592966,NOR
22,100.39274798820448,98.4480427277742,NOR
23,126.52178707407336,124.33609984762913,NOR
24,221.02920803628118,229.65392211352383,GAS
25,258.1999957333333,,NOR
