Minisector,HAM,VER,Fastest
0,291.2101730978355,290.31069288018887,HAM
1,300.208458562406,299.86979173333333,HAM
2,305.10952379348373,302.77361114074074,HAM
3,303.0184210526316,290.418319648128,HAM
4,179.66512336500148,169.18884743529412,HAM
5,221.09095238095236,213.75527796187913,HAM
6,242.78040338778735,236.77428108571428,HAM
7,270.6031178376417,264.3414927439844,HAM
8,263.0627696197012,251.0856788858497,HAM
9,170.76811290746957,167.38502137551873,HAM
10,233.86900036266667,225.94551910565784,HAM
11,140.1856248407939,136.96986371400592,HAM
12,229.76170187408596,228.60716733866667,HAM
13,196.1084868374808,197.11241849294828,VER
14,226.41376478905514,217.68782125128203,HAM
15,249.374689510559,235.61294023857388,HAM
16,265.8681818181818,259.9949181722233,HAM
17,285.9200548689439,279.9689583466667,HAM
18,130.18840572753624,129.72845109015822,HAM
19,168.84672146190002,165.640647664458,HAM
20,151.98732308352487,150.6002849367125,HAM
21,165.78506802721088,164.88349805858502,HAM
22,120.78711691287646,117.88476389948012,HAM
23,230.86810083453693,228.8026197942857,HAM
24,271.11071418049886,269.31178340460474,HAM
25,283.13749973333336,,HAM
