Minisector,PIA,HAM,Fastest
0,271.5336618492517,274.4716281556254,HAM
1,253.51826428034445,253.1357654164502,PIA
2,119.6863508618449,121.59792387675085,HAM
3,176.00390682786636,177.30802676060605,HAM
4,196.64398964008734,198.4244026800586,HAM
5,198.52028140901587,204.00997630927912,HAM
6,262.5175089636431,266.8469553124926,HAM
7,283.17473348667795,287.16890728694676,HAM
8,235.07401060124445,248.6188254196578,HAM
9,147.16267539087718,151.87927090816126,HAM
10,119.7270340100118,124.63161742870088,HAM
11,170.72151902930477,166.87073728455186,PIA
12,247.67450944738815,249.99052963878788,HAM
13,162.90438026096365,163.96303187694943,HAM
14,150.57869648267334,154.87592428619058,HAM
15,106.36627068551849,111.55585165210786,HAM
16,216.04438293237746,215.49375136687834,PIA
17,228.88138553637427,249.43813359176383,HAM
18,130.89089438081535,134.8707043313016,HAM
19,239.37635684419047,237.82634092496008,PIA
20,274.3387550448828,279.3156081758131,HAM
21,203.21173951259843,206.49864895568075,HAM
22,156.06716538152145,152.64378077513084,PIA
23,220.3901567748857,221.44721314453074,HAM
24,235.66569016259217,231.33367469308573,PIA
25,,260.08124799999996,HAM
