Minisector,VET,MAG,Fastest
0,272.17829869555555,271.51904759480516,VET
1,287.98268904748613,292.29909408013145,MAG
2,288.54185892525254,292.849204616922,MAG
3,184.36880956380952,167.62176598140823,VET
4,123.00208094244898,115.38857749455238,VET
5,236.24504130480315,234.5335631292657,VET
6,274.8422472882046,276.4497886805115,MAG
7,281.82617563216706,288.3546813858824,MAG
8,172.95099499453687,174.10170807760142,MAG
9,142.32198676696225,133.73511226684377,VET
10,247.91809440559442,247.5635564566254,VET
11,284.57310456308636,285.3414127484297,MAG
12,295.3991063850587,292.7658866861551,VET
13,269.3155785917915,270.4117780525855,MAG
14,287.27743347918664,289.3353168526406,MAG
15,289.7307023240422,290.23489955093345,MAG
16,232.5152878946502,237.5649411550341,MAG
17,217.8045767893199,215.78727304632613,VET
18,269.436385388052,270.754130986389,MAG
19,289.6493470618914,292.3004543418346,MAG
20,297.54100651774894,297.9630918362399,MAG
21,220.8308362965192,232.71483881861926,MAG
22,255.80111024405093,255.7770883269841,VET
23,131.8893390180122,137.64189479355667,MAG
24,214.25580649204485,212.2261107617635,VET
