Minisector,SAI,RIC,Fastest
0,283.7711319234841,281.9042565883454,SAI
1,299.1244049777778,292.0035716063492,SAI
2,305.8952380571428,294.7914583466667,SAI
3,309.09623598364595,288.6519923478261,SAI
4,256.3494314249625,238.17715939204612,SAI
5,191.46725354300716,190.16003868076598,SAI
6,255.2955627146123,255.5243542955706,RIC
7,282.59571977868484,276.00081172640694,SAI
8,215.42186084377298,205.60006229274234,SAI
9,206.30871036952382,205.95221829585324,SAI
10,137.18303057394638,139.2075362670325,RIC
11,243.39744641074438,245.5433273636594,RIC
12,275.39564389961566,270.1558133588458,SAI
13,217.15511983774564,217.6724402616362,RIC
14,260.31980119432416,258.3906273518278,SAI
15,233.00545021538463,217.28670441925922,SAI
16,178.6510677943342,181.84338114995762,RIC
17,257.73858652753626,255.83252290610088,SAI
18,151.64731462309933,151.66760343776096,RIC
19,204.4091511393674,208.16082501522132,RIC
20,270.0975123406328,270.14505684813423,RIC
21,289.35436500317456,288.589430092921,SAI
22,157.2198352896661,159.61765108486296,RIC
23,176.5262807927718,179.29207927382168,RIC
24,256.41511910579635,255.60048187911673,SAI
25,,273.4916672,RIC
