Minisector,LEC,RIC,Fastest
0,284.49385798787876,281.9042565883454,LEC
1,298.95940024037424,292.0035716063492,LEC
2,305.0720237714286,294.7914583466667,LEC
3,306.30228174391533,288.6519923478261,LEC
4,251.72498964858826,238.17715939204612,LEC
5,190.7471384872504,190.16003868076598,LEC
6,254.19799892710805,255.5243542955706,RIC
7,280.516581478458,276.00081172640694,LEC
8,207.51532889150013,205.60006229274234,LEC
9,207.16728241777778,205.95221829585324,LEC
10,140.9541609267607,139.2075362670325,LEC
11,245.00716620799997,245.5433273636594,RIC
12,273.6299735266264,270.1558133588458,LEC
13,217.93097389387756,217.6724402616362,LEC
14,262.1726545298183,258.3906273518278,LEC
15,224.37299543703705,217.28670441925922,LEC
16,183.2696143665773,183.51563470829223,RIC
17,257.013431347412,256.5774151136125,LEC
18,154.99825667677194,151.41361287971904,LEC
19,207.3268485170068,210.5594259086221,RIC
20,269.44986481928515,270.14505684813423,RIC
21,288.8626983111111,288.589430092921,LEC
22,162.83414537735248,159.61765108486296,LEC
23,178.8581929859944,179.29207927382168,RIC
24,257.0132256989863,256.3037959799521,LEC
25,,273.8,RIC
