Minisector,HAM,SAI,Fastest
0,292.1707197750567,300.43476364914716,SAI
1,302.5666453762844,319.8289057997321,SAI
2,307.50352638586145,327.5394736280702,SAI
3,307.81805556825395,324.0580829433584,SAI
4,215.03676033845122,189.94515432443498,HAM
5,232.2638348307692,228.41607874645598,HAM
6,272.8968867044291,271.4781331177832,HAM
7,277.96939505720593,264.97878136084023,HAM
8,207.38529173646947,192.29635287505383,HAM
9,165.0224549569747,149.2570813246583,HAM
10,193.36456530866153,195.28062682516475,SAI
11,264.2792339137572,263.4897252586755,HAM
12,263.9607199152772,243.41354250726332,HAM
13,240.21434666116366,232.25918135814766,HAM
14,279.2175722136646,275.34223112668684,HAM
15,189.99847802781377,171.44589926383526,HAM
16,229.35709795555556,221.80801648504178,HAM
17,256.53038596404224,243.6228602028027,HAM
18,144.89389815962053,138.82577389293309,HAM
19,246.20599401021397,249.11222051072755,SAI
20,282.4261901714286,283.94039818535464,SAI
21,266.38600708123005,241.38550473145648,HAM
22,156.77970075897434,144.60556571937977,HAM
23,222.54049781036593,217.89587996113292,HAM
24,274.69428032132504,275.99532358756113,SAI
25,281.1714285714286,,HAM
