Minisector,NOR,RUS,Fastest
0,298.6936787753873,297.3017884232618,NOR
1,308.51352498966133,308.95395840888887,RUS
2,313.2302528485498,311.5168817107609,NOR
3,296.54791005291,290.51542319527897,NOR
4,163.29680094406132,157.85990059812113,NOR
5,209.09905325033586,211.9448505819665,RUS
6,239.53935890241547,244.97529024662526,RUS
7,269.91048585200764,272.1620328187524,RUS
8,245.1442851986532,237.2426574542443,NOR
9,167.0948871272882,163.1659001738031,NOR
10,221.81239883048667,209.82751332449524,NOR
11,131.02376758238285,126.47891908385812,NOR
12,232.74337811875776,232.96332668242522,RUS
13,179.51526773289436,174.19023790078305,NOR
14,219.1964434873957,226.87742420010838,RUS
15,247.3196691595985,246.63715386794257,NOR
16,268.27823229714284,273.03922444359785,RUS
17,290.836505821645,301.5942447458422,RUS
18,171.48972281678002,144.90338366473458,NOR
19,172.33888592868422,168.50291273843706,NOR
20,144.6533694244699,140.64883707065025,NOR
21,236.83142222111277,236.2375332898655,NOR
22,269.12565602680775,266.681373775886,NOR
23,258.1288512795403,256.4205888182841,NOR
24,282.92473911649836,282.5509572898766,NOR
