Minisector,GAS,GRO,Fastest
0,260.07992682041584,259.3791192043248,GAS
1,133.8301186252415,129.78847407746164,GAS
2,198.24884321185183,198.53270439880833,GRO
3,244.80516626694364,245.2774095797258,GRO
4,260.92454875930446,257.0794256201351,GAS
5,183.5162043280922,176.09171914029716,GAS
6,151.03673660301402,147.54675842838887,GAS
7,189.5786625954246,178.36278195488723,GAS
8,106.51034093675575,100.33568799088314,GAS
9,77.5245081030543,72.03661587166908,GAS
10,97.53906338288995,92.82396402344578,GAS
11,185.53902081204464,179.01006724351987,GAS
12,244.1138521943801,242.1113830606059,GAS
13,265.67684840869475,266.2503565367233,GRO
14,278.56726919797387,277.49717893413776,GAS
15,121.10980029274215,115.76742859961509,GAS
16,149.27762160313432,142.44785637923317,GAS
17,189.64868429473685,194.5886991696712,GRO
18,197.51080442300386,194.04697257956084,GAS
19,208.84366908545542,215.15619695465352,GRO
20,137.29074335196464,139.04359154380919,GRO
21,116.73430009413923,118.40362711404518,GRO
22,98.29407290187433,86.81034266274837,GAS
23,196.70968616240782,191.78946619731227,GAS
24,248.40126762325812,246.37062277757352,GAS
25,261.23333333333335,262.4937504,GRO
