Minisector,VER,HAM,Fastest
0,326.59965120701327,327.45466000761905,HAM
1,336.50178810561323,335.65543864140346,VER
2,333.4646033192868,333.41734562735934,VER
3,196.75084418054155,201.76056325304663,HAM
4,131.18539534908004,133.42562718583585,HAM
5,268.491780004794,265.0245345158095,VER
6,304.30483539694086,306.0644473687958,HAM
7,318.1723824323882,320.1617011897744,HAM
8,276.91826212052877,292.98447912796536,HAM
9,146.05216030795134,146.971620347079,HAM
10,224.3679398578597,230.56296510134453,HAM
11,233.82846511501307,227.20733211222856,VER
12,207.8747975911549,207.35155808311026,VER
13,279.8365956519712,273.2203604511198,VER
14,311.86754808990474,309.1986581071459,VER
15,324.9116439448068,322.8617235422671,VER
16,278.715478367205,276.34720415440637,VER
17,223.43620464738538,214.37844477667366,VER
18,279.1155193164001,277.5851620203948,VER
19,312.8263753004572,312.86396148763504,HAM
20,324.67341047308645,325.54902599480516,HAM
21,309.6096542098551,314.1547577136246,HAM
22,227.65936809011168,219.07757320125344,VER
23,275.76631634108355,271.3172396335551,VER
24,309.8683783803896,307.9890965205454,VER
25,,319.6111104,HAM
