Minisector,LEC,ALO,Fastest
0,316.6199274931677,319.57644961656314,ALO
1,324.28586132491654,329.29829541818185,ALO
2,327.59473043953636,328.28195738781335,ALO
3,202.0943681114236,194.93752459666177,LEC
4,116.84228403346755,116.92105786668394,ALO
5,262.9141406853861,263.03095362721086,ALO
6,297.4846160932362,299.7723960471336,ALO
7,314.25652718493967,313.50510814236077,LEC
8,287.7089802463311,285.4127362883989,LEC
9,140.6321365865624,138.09531700804976,LEC
10,219.2880151358097,217.36867723111848,LEC
11,210.6598103489434,206.38038076530302,LEC
12,192.40156220446946,192.35435493832568,LEC
13,264.62647991936643,263.81026729251704,LEC
14,301.32839006873706,302.9189082900339,ALO
15,318.70975440629076,317.40688408115943,LEC
16,258.9331778068751,253.88072375451438,LEC
17,198.3632415304536,198.87322236444047,ALO
18,267.8823243504754,268.1602489134157,ALO
19,302.42246344347825,303.57504891767513,ALO
20,317.9900999978109,318.48026339774003,ALO
21,304.8368069333333,298.748166784,LEC
22,199.95769989564192,202.725227827451,ALO
23,258.75401157530865,260.0686540920605,ALO
24,299.8110618557082,300.30104133333333,ALO
