Minisector,LEC,VET,Fastest
0,275.1438111613968,272.17829869555555,LEC
1,295.93170087785734,287.98268904748613,LEC
2,295.20112467167917,288.54185892525254,LEC
3,182.46538389021944,184.36880956380952,VET
4,116.59633444672015,121.67484605049351,VET
5,232.5276931029228,234.41572124549393,VET
6,278.70654167466665,274.8422472882046,LEC
7,291.1714339667725,283.3417078051274,LEC
8,175.27427869213608,176.01349499453687,VET
9,141.05385110480896,142.52361204265054,VET
10,246.58816492685423,247.91809440559442,VET
11,287.2868067970724,284.57310456308636,LEC
12,301.7695502899471,295.3991063850587,LEC
13,277.95556890189073,269.3155785917915,LEC
14,295.0473244092562,287.27743347918664,LEC
15,296.73920626109117,290.95597386328234,LEC
16,252.5837780056104,233.6397418984127,LEC
17,217.7010610158016,216.65861389239987,LEC
18,274.63669234688706,268.7004300045299,LEC
19,297.01476449209343,289.6493470618914,LEC
20,299.510514980304,297.54100651774894,LEC
21,229.43339487998907,220.8308362965192,LEC
22,256.3113415851764,255.80111024405093,LEC
23,137.318510127523,131.1613125787327,LEC
24,216.81510448454347,208.83400628262405,LEC
25,258.6041706666667,254.0,LEC
