Minisector,RUS,GAS,Fastest
0,288.7094958185941,291.16911889657916,GAS
1,297.5340441411765,302.48463241322634,GAS
2,301.03729949946523,309.18467787114844,GAS
3,298.78508719157895,299.4408383461587,GAS
4,167.86085449335303,163.6903141516199,RUS
5,207.72601959866347,203.36967372465793,RUS
6,227.45609723555555,233.78311194653298,GAS
7,259.97889637434264,263.18429630319696,GAS
8,255.72731292721204,256.361,GAS
9,162.32742247823617,158.91236408263754,RUS
10,224.3441312952053,218.96278950724638,RUS
11,134.1859757373189,131.85671015904182,RUS
12,226.65081925315582,226.56325396825397,RUS
13,183.1548811310451,179.18690916680154,RUS
14,216.4093277822465,203.08082251082251,RUS
15,230.02200490143338,230.38862005171313,GAS
16,254.21227205756435,258.20329166666664,GAS
17,279.27628251877724,279.8721308584795,GAS
18,155.0580302020235,153.45787916005,RUS
19,166.88518593976767,160.57015691142223,RUS
20,141.4121574704357,139.43144864226406,RUS
21,221.71867680984124,232.51229642512953,GAS
22,255.58669471200793,262.902209749046,GAS
23,243.5028195812197,247.07981517008545,GAS
24,268.05269185994047,272.7607291466667,GAS
25,280.7928576,,RUS
