Minisector,RIC,RAI,Fastest
0,291.00545153576536,300.3310370394558,RAI
1,300.4199544743764,319.9392428980514,RAI
2,305.6767838889357,328.8837541839474,RAI
3,300.3203323584606,332.6092106105263,RAI
4,203.4639485998577,194.1512159769809,RIC
5,224.0883009622081,222.0858384826602,RIC
6,268.14756669482404,270.8328476682017,RAI
7,275.32123808431385,276.8304847132811,RAI
8,197.63206008553462,189.6569181854331,RIC
9,160.81485625416667,156.90887399846986,RIC
10,190.1335238854261,189.57720622089224,RIC
11,259.97758765714286,262.6821165449275,RAI
12,253.95866743466667,253.70763788198568,RIC
13,236.35104715721954,224.28594895492682,RIC
14,268.0141265289926,273.1577435399796,RAI
15,182.335993627564,177.10382453008867,RIC
16,224.94910605500283,221.5890472632937,RIC
17,249.5459237109975,249.07471959836013,RIC
18,141.1530990251596,135.82789730827255,RIC
19,241.2795379873016,238.7624754102857,RIC
20,279.39002565656784,281.9844137921827,RAI
21,260.25913638968785,258.94080932149853,RIC
22,150.63375598536115,144.21971547235802,RIC
23,215.20977277230028,208.17557376420362,RIC
24,271.12190864593987,271.91398433250464,RAI
25,284.3357129142857,287.03749973333333,RAI
