Minisector,ANT,HAM,Fastest
0,305.7710233904762,304.4949756468966,ANT
1,149.59390983526694,149.15543918851907,ANT
2,209.15069765946953,211.2897926916402,HAM
3,287.00770877128724,288.34985238588234,HAM
4,317.67803590965985,314.44044722779444,ANT
5,318.5442703666667,316.59330354285714,ANT
6,176.95796220690883,187.8640968588034,HAM
7,120.15099152698937,119.43068374176687,ANT
8,253.14564792380952,252.47291340571428,ANT
9,298.2693878072122,295.11778724033616,ANT
10,297.7870795169565,295.73663031454845,ANT
11,133.58786584398385,142.8438101154273,HAM
12,180.99582141522242,171.55840620691353,ANT
13,248.80830802575963,244.4577689776927,ANT
14,189.0205591303716,194.52254688545563,HAM
15,193.04662853986176,189.10695371174603,ANT
16,190.05023255024125,194.75317607665016,HAM
17,237.55670332179417,230.29898925874687,ANT
18,281.53064337814635,276.8841340137143,ANT
19,296.5244206469418,294.58756357576567,ANT
20,243.171009216,250.71696316613756,HAM
21,203.3892474005964,198.8450101189079,ANT
22,190.973556352,176.8318089841165,ANT
23,273.21603696919635,262.6498158881939,ANT
24,307.01502716349376,301.1547222328889,ANT
25,,309.0,HAM
