Minisector,GAS,NOR,Fastest
0,254.27018480643474,257.12821594525565,NOR
1,218.0830045678109,215.21088249915928,GAS
2,203.65146647188448,211.6397770006499,NOR
3,255.9699875318525,260.53443721285385,NOR
4,271.05985963011057,274.2883250370899,NOR
5,286.350259121552,280.1641304115942,GAS
6,168.15540758840228,167.19632385284226,GAS
7,175.16764205067074,189.89390736987698,NOR
8,265.7741125626498,267.087126417266,NOR
9,290.3542629811371,288.28028007176,GAS
10,300.65639520288073,295.2996126210737,GAS
11,300.3596840986575,290.29696418044887,GAS
12,114.83119214210197,116.98160855081302,NOR
13,186.5023852605536,190.46081276920722,NOR
14,268.97568756211064,270.2989371672861,NOR
15,292.6262567874599,290.9640367649027,GAS
16,300.80038859007914,290.3817422081738,GAS
17,186.80065416069255,185.8663936204258,GAS
18,223.35146583131046,223.81102046580367,NOR
19,268.308136067599,263.8719727677077,GAS
20,157.14357141404662,160.4387314899415,NOR
21,143.3944220279269,151.22222642378745,NOR
22,217.15088683569567,219.90622322106134,NOR
23,231.69603872504882,234.73658979063106,NOR
24,157.7000854523703,162.01421690838134,NOR
25,225.33333333333334,231.01666773333332,NOR
