Minisector,RAI,PER,Fastest
0,316.1536488088963,311.1361691155077,RAI
1,229.54478973333335,231.61163921579723,PER
2,133.16486501692708,134.29714308705232,PER
3,224.87019132229406,217.37926878710147,RAI
4,271.35448168826525,263.2795640607121,RAI
5,297.25430536685116,290.2388497019537,RAI
6,310.4269133714286,304.44027797333337,RAI
7,292.11842706832925,283.15854940003624,RAI
8,175.05851793205477,173.24061069642713,RAI
9,243.70805262003196,241.5455655900873,RAI
10,279.9550558674472,275.59314844249684,RAI
11,269.8272760839171,258.71126202798285,RAI
12,211.07512750909842,201.7104277700549,RAI
13,130.70656912631867,128.50338086941625,RAI
14,124.14011680287426,127.17333023424817,PER
15,171.6185042734039,167.54694608952667,RAI
16,123.77218494098696,128.2715175089108,PER
17,235.78003489427743,231.19474570938985,RAI
18,194.16122063646452,180.92749367291373,RAI
19,166.15619280827372,171.04330066248986,PER
20,251.93510989986873,250.34511191598853,RAI
21,283.92731739301246,278.8450197340419,RAI
22,301.8127035363833,296.4294271885017,RAI
23,310.27055566222225,307.7808686079364,RAI
24,313.96517233911305,312.9752778666667,RAI
25,315.8642861714286,,RAI
