Minisector,LEC,OCO,Fastest
0,262.32087237756616,251.01984257015872,LEC
1,138.9479312019986,131.8041805124192,LEC
2,209.02303761568626,204.02479843697265,LEC
3,246.11569408,247.52053364786326,OCO
4,262.02767862857144,257.61784209951065,LEC
5,185.6594126167726,187.17645648169648,OCO
6,150.84547776284444,145.8159876983397,LEC
7,188.83888750768165,180.61171889714285,LEC
8,107.22384905052607,101.22785341103858,LEC
9,72.87399600925689,71.21261239038054,LEC
10,97.87944471855202,98.04294891311916,OCO
11,188.4367531041666,194.20653734159592,OCO
12,245.15230601910142,244.62389306096568,LEC
13,267.8330948495238,265.073764655055,LEC
14,278.2319598065934,277.7150930903704,LEC
15,107.37423197174449,107.77178410833505,OCO
16,158.95016494574904,155.4031856321693,LEC
17,191.87739541809336,187.38588843377778,LEC
18,205.63221768973546,198.66957391177948,LEC
19,220.93432529837534,221.62026873079407,OCO
20,141.87544680317018,136.89369457595637,LEC
21,108.99187526636364,123.54440016840447,OCO
22,101.88320769278819,93.69095666940754,LEC
23,190.85127374486217,195.56386293078148,OCO
24,251.32992007111113,246.25417570787877,LEC
25,,263.0,OCO
