Minisector,LEC,ALO,Fastest
0,279.52151331787036,278.4089696651082,LEC
1,297.35149384355435,298.17605335893586,ALO
2,239.7331184327292,235.7860184911464,LEC
3,111.31612931935679,111.9532485882704,ALO
4,125.4054243210948,131.0959925163147,ALO
5,248.08890140395258,249.53820283643333,ALO
6,253.45526120128707,239.34956978456262,LEC
7,120.8774315091656,119.51560410020373,LEC
8,243.64512290250525,247.5861949786362,ALO
9,250.34399900711375,262.4811635683476,ALO
10,202.65520137937168,204.3638416491949,ALO
11,137.63609747780376,141.23845604373574,ALO
12,202.0863233763775,209.47602854856615,ALO
13,262.9336039797447,242.93196115759542,LEC
14,112.10544826143904,107.82151098432902,LEC
15,183.04068681124093,195.9720829785289,ALO
16,253.71062310466039,261.479206919224,ALO
17,286.3155109323851,296.09870318837307,ALO
18,300.5506414409035,314.6210497307268,ALO
19,306.8629934736842,325.8334554249231,ALO
20,309.677027792,331.58848693333334,ALO
21,152.3887554490773,138.46851848213066,LEC
22,145.7398789720864,168.68867206463673,ALO
23,196.63056036596643,191.75973513749545,LEC
24,233.00245724458497,237.1296947504762,ALO
25,264.4,,LEC
