Minisector,VER,STR,Fastest
0,252.8311068441294,252.65856504527576,VER
1,210.529693956523,206.47441989177204,VER
2,216.54428857631876,216.19045992397696,VER
3,256.7081730871795,260.343011495445,STR
4,271.36693565290614,275.0070869354307,STR
5,225.71824625287357,224.59568421022158,VER
6,101.72683054588343,96.43010944370452,VER
7,185.47883184439476,176.69251735827217,VER
8,264.92266683733334,264.69207992085745,VER
9,286.25533859845837,287.14775221753524,STR
10,292.5151516121212,295.122159030303,STR
11,286.2042967295328,294.1763141466094,STR
12,114.34627042474209,141.31124776825396,STR
13,214.25268872258064,213.35950482951554,VER
14,271.2246627848383,274.30369522031174,STR
15,288.3675346666667,292.7946804011577,STR
16,224.67060463136926,196.94468873295875,VER
17,126.69004799752724,117.58560943855677,VER
18,156.9448089058201,155.5948065397339,VER
19,249.0096153846154,253.70796476617465,STR
20,161.29020950898658,149.16158979447803,VER
21,134.84756438643845,124.69596671307032,VER
22,200.62421375100016,206.63122246412982,STR
23,207.9855037930303,199.29675350697454,VER
24,170.36406344,162.9975449241048,VER
25,228.8750016,,VER
