Minisector,SAI,ALO,Fastest
0,296.4162728967282,295.1608776186855,SAI
1,225.25541896892562,205.57159297715967,SAI
2,231.49722370087113,231.70621436695538,ALO
3,276.64947153939397,275.6912539758764,SAI
4,251.6913992961401,239.01695259577735,SAI
5,128.65326448060287,127.42132639981335,SAI
6,214.4716939868783,216.9762027535757,ALO
7,265.4507171157098,263.6219044403358,SAI
8,250.98028906079847,246.75720281073592,SAI
9,244.09050787214068,244.35040423412758,ALO
10,279.56462858327694,277.2701978074805,SAI
11,294.62217380136053,291.5573032942341,SAI
12,301.617169824355,299.61241124631186,SAI
13,305.6434125172487,303.0984022776943,SAI
14,304.6947316519529,302.32518774269005,SAI
15,257.9816441139231,251.97774712820512,SAI
16,247.08574627885386,249.45560440996607,ALO
17,280.78596909189645,282.2507935357071,ALO
18,292.6829165155556,291.4474275732292,SAI
19,165.3111291536853,167.35508019483726,ALO
20,212.776448708673,217.20931954345573,ALO
21,182.96245796669012,179.33169925541125,SAI
22,142.99189226324395,151.944658973493,ALO
23,243.27237547329193,244.30257958769883,ALO
24,283.9871151912156,283.19335609904766,SAI
