Minisector,RUS,TSU,Fastest
0,293.50661801978134,294.7299877512739,TSU
1,305.444129224,306.6285052667403,TSU
2,309.09251789409734,306.52482978500797,RUS
3,190.51937647084213,182.8513619963049,RUS
4,212.5042686456508,213.29179264804077,TSU
5,203.82679243706622,200.89765470071475,RUS
6,266.2515069052181,261.569631482353,RUS
7,264.48144016350716,251.68250443015057,RUS
8,217.77006330180285,206.00186803480844,RUS
9,208.02281721674305,206.47329936317433,RUS
10,140.22865765311738,143.04992517242675,TSU
11,198.2961028929715,188.0265417222487,RUS
12,181.3791344948148,194.22750103688264,TSU
13,255.35697604113162,250.89405179078094,RUS
14,173.3644781081489,174.9069989218528,TSU
15,236.2354066742834,237.40435284799835,TSU
16,282.3960672577942,282.09499796680274,RUS
17,292.68825898336564,293.02111108972593,TSU
18,287.6457564677978,284.3273875705041,RUS
19,265.7300679793491,263.6419458588669,RUS
20,266.20731973675305,259.44273127660796,RUS
21,266.18416542376815,265.1665437385621,RUS
22,229.27134181563483,223.2041361393668,RUS
23,204.79117312152934,211.94705395418805,TSU
24,270.21499968,271.5020740941774,TSU
25,285.63749952,,RUS
