Minisector,NOR,TSU,Fastest
0,275.6839808463768,275.5472779677668,NOR
1,297.05856418191627,296.3825065917536,NOR
2,295.83228912,294.57054467128427,NOR
3,180.04254265957593,181.2516888821003,TSU
4,123.71381549654528,120.2733641562756,NOR
5,239.1981187425496,234.87060091319614,NOR
6,281.4182104178679,279.31382144843474,NOR
7,294.43672309732426,293.04329859555554,NOR
8,188.36991823392736,183.55976034792437,NOR
9,144.08989882123035,141.71459656557298,NOR
10,251.84226154909092,246.95902944324556,NOR
11,290.4040596136616,287.0208282866619,NOR
12,304.3977388728716,295.69010735091075,NOR
13,281.8928624162319,276.02708436845717,NOR
14,296.4589686865561,292.81631805646373,NOR
15,298.95057402037264,294.2134971927273,NOR
16,252.37223665942233,255.6989523766214,TSU
17,230.247060491436,232.87337653778394,TSU
18,277.34804779035153,275.646052427542,NOR
19,299.26109939250796,296.2418572695986,NOR
20,299.43748373803123,297.53774492972195,NOR
21,238.7218594370236,234.86987496575983,NOR
22,263.16494753862435,257.36176577920156,NOR
23,142.82933903774946,145.9624968561791,TSU
24,217.38731456809214,210.67742777643855,NOR
25,255.89441029343018,254.875002,NOR
