Minisector,NOR,PER,Fastest
0,306.19340736317866,293.7376369628981,NOR
1,321.2145832888889,306.6386588310777,NOR
2,283.29252432409737,287.3397515502363,PER
3,111.47410025025441,110.62432458154619,NOR
4,231.45319762690312,226.42674792949617,NOR
5,284.8086651111286,268.98778846467445,NOR
6,216.611907339265,211.00711320253487,NOR
7,163.01407700890243,164.0403601444683,PER
8,197.1101504530656,189.6313653392181,NOR
9,203.05070408509556,211.29379814017133,PER
10,112.77532986812092,111.34690001700413,NOR
11,227.0853207677834,227.68124216891096,PER
12,116.78987858114307,110.74575277110421,NOR
13,222.95171342640882,220.39618436478986,NOR
14,271.70205995728503,270.9981466215681,NOR
15,209.29740486456404,218.28067643239723,PER
16,199.4201291785929,198.15456394785093,NOR
17,250.6053139062642,253.54427066666668,PER
18,197.49212810337156,208.3042926043971,PER
19,181.71264695390065,177.04103983890195,NOR
20,267.5197389424764,267.11084609689794,NOR
21,294.6965219425321,293.86057257505666,NOR
22,158.80436458590478,162.68194545175905,PER
23,210.2098703763227,204.5103118350037,NOR
24,270.2586203106594,273.00995834377096,PER
25,284.1333333333333,286.7291669333333,PER
