Minisector,LEC,GIO,Fastest
0,117.09436384594466,208.20725616888478,GIO
1,146.60018370460494,217.62072501628063,GIO
2,166.17480401269842,172.33178537142857,GIO
3,106.0529579,228.05898583606563,GIO
4,144.34096543914265,270.2607632,GIO
5,195.3457164393851,295.2959359723706,GIO
6,153.95975569909567,312.04499861333335,GIO
7,140.83906153333334,322.1791666666667,GIO
8,143.8127265485781,229.7137564839374,GIO
9,144.18509663218737,128.71578790673445,LEC
10,182.5625706015319,204.6705852862745,GIO
11,152.4552532306218,257.6486431365503,GIO
12,148.3749981217391,285.48159662222224,GIO
13,184.42648965498842,305.1503273147824,GIO
14,201.70889700947086,318.81416586666666,GIO
15,155.6184806995671,323.82416650666664,GIO
16,118.64945369011305,292.217084773219,GIO
17,94.4375598737661,104.39900281368934,GIO
18,112.47154094812304,123.1633159576342,GIO
19,121.63846462528736,225.2200505142857,GIO
20,141.21260877523284,270.66942333361754,GIO
21,197.59208488515404,295.6213583746803,GIO
22,153.81595135934433,310.70833290666667,GIO
23,172.73148311289793,312.2060614787879,GIO
24,220.271092,193.43341323646484,LEC
25,,114.23431811888341,GIO
26,,202.53207190588236,GIO
27,,250.2926324940972,GIO
28,,255.5062720851687,GIO
29,,171.30537405460458,GIO
30,,180.58535797176887,GIO
31,,230.78437746666665,GIO
32,,183.58921778766137,GIO
33,,204.52239415,GIO
34,,245.76521048003784,GIO
35,,270.2021736201783,GIO
36,,287.2297119111111,GIO
37,,298.3454857777778,GIO
