Minisector,LEC,GAS,Fastest
0,294.6144609882353,287.54014821290235,LEC
1,304.46672147004006,297.97109366666666,LEC
2,308.2348958,301.4593137389356,LEC
3,307.2552078666667,302.11718833333333,LEC
4,178.937051403562,178.29635029487852,LEC
5,214.1990354507915,212.8642709697834,LEC
6,245.00059474285712,241.69434973078677,LEC
7,269.48390194017657,265.01074962608675,LEC
8,267.60668197248674,271.63670766560847,GAS
9,168.2856085745579,170.20290365985846,GAS
10,237.31116162705453,231.16874889696967,LEC
11,136.60500120380954,137.59405819034086,GAS
12,221.52575967226153,220.16363437575757,LEC
13,196.38198046878043,201.33228096056024,GAS
14,216.65417212253917,208.48176857777779,LEC
15,254.96854197333332,247.97105059497386,LEC
16,262.5810319863918,259.2317660310777,LEC
17,287.8443271798319,281.50421214784416,LEC
18,137.41762284817779,142.81945936108843,GAS
19,160.21657031766514,158.04169169333335,LEC
20,148.3439726440336,147.44891323083178,LEC
21,169.1264521035165,173.9751905721721,GAS
22,118.71407790919157,119.61794387921022,GAS
23,226.31646659047618,218.46119957056274,LEC
24,272.3124052531328,263.1778305506074,LEC
25,,277.4562496,GAS
