Minisector,PER,ALO,Fastest
0,274.4275956158454,275.11970053352775,ALO
1,297.92358502871696,301.5471145950126,ALO
2,297.51162034962965,299.37941689096596,ALO
3,168.77655094682206,165.86373593684988,PER
4,116.95186399680249,117.7880748194919,ALO
5,233.82993752427245,233.63456345834703,PER
6,283.7166297035294,291.6147455412917,ALO
7,298.7048478293333,309.6134938324362,ALO
8,185.3298538193005,162.66548878871038,PER
9,134.71821896239996,135.97830680679087,ALO
10,244.5512600239863,249.59368189737376,ALO
11,285.8683276486003,291.1528098402828,ALO
12,298.5371599129252,304.8108915033037,ALO
13,282.6157917156275,286.9275254158298,ALO
14,292.199411101998,299.47476907150417,ALO
15,295.377440792381,302.8279768450216,ALO
16,259.3749096069565,255.0087683319705,PER
17,227.90773012742324,223.28048078844745,PER
18,273.8811741221978,283.001391718789,ALO
19,295.3522773047695,311.39975172698416,ALO
20,296.27153321743145,315.88827393662336,ALO
21,240.5517531867351,218.4517926617643,PER
22,259.4654071626877,256.15173852062554,PER
23,139.7467999710826,128.3778768271025,PER
24,206.49815432527126,206.27879862489326,PER
25,252.6875008,,PER
