Minisector,VER,LEC,Fastest
0,286.934960551632,291.6894671067105,LEC
1,298.127696,303.0333137833873,LEC
2,303.60737957819845,308.2472222222222,LEC
3,303.85006246760224,305.75578277258484,LEC
4,190.9076958534947,166.48607512645626,VER
5,206.6829539277306,208.13990132949039,LEC
6,244.50143226006267,227.6507207426854,VER
7,264.8147277367158,261.4291110738539,VER
8,273.50122014749047,259.6802796394188,VER
9,168.97134939862426,155.82218311104253,VER
10,224.75841922810233,227.10163127495298,LEC
11,147.56528558678534,137.17286293449595,VER
12,210.7790760216918,228.26444349838724,LEC
13,218.56970543188393,189.21491463464798,VER
14,202.32519365361392,215.0332557596099,LEC
15,247.9193564256595,236.67092987275325,VER
16,257.73328108847386,257.3435938961689,VER
17,280.49789898039216,284.2165455735012,LEC
18,185.7951882083341,132.42410165123016,VER
19,140.2715290837434,163.87326146703302,LEC
20,146.05971193605197,143.50974602732077,VER
21,181.9116015494312,159.33897154927567,VER
22,122.42171489385719,118.96199886151742,VER
23,209.27774983669246,227.90829138799967,LEC
24,263.82300023683007,270.1068295243851,LEC
