Minisector,RIC,VET,Fastest
0,303.3605354819048,299.91865344799584,RIC
1,306.00172311578945,304.20764771076546,RIC
2,298.9298538160618,303.8767553122807,VET
3,221.7588164923077,218.16028447719162,RIC
4,220.99794967128142,225.46402591695238,VET
5,118.20713243809216,121.2351702800306,VET
6,220.59276558017956,226.85644479114336,VET
7,263.356158515942,268.67757030951947,VET
8,215.42876382290936,223.93793352478633,VET
9,121.68663993080455,121.39181007090272,RIC
10,237.00989431746032,240.32756523387658,VET
11,249.55634133333334,251.5122359466667,VET
12,133.2031826805475,137.02982502545075,VET
13,217.25390749440183,219.9988262846271,VET
14,264.7184520126984,267.05416604444446,VET
15,217.43499786150983,223.36150282694277,VET
16,168.44081289476335,167.39986966502144,RIC
17,240.91963148525042,245.40639390347934,VET
18,121.89669630848584,124.65736614996895,VET
19,145.89869338715283,144.93885936288703,RIC
20,203.89834566797103,193.34520140076648,RIC
21,256.2798589024402,252.65692706691019,RIC
22,273.54366612266665,272.6874424545282,RIC
23,284.85244612250034,282.3655173577143,RIC
24,293.51495576701757,292.27761471214274,RIC
25,298.3124992,298.22499946666665,RIC
