Minisector,PER,PIA,Fastest
0,305.93383687101993,302.128556670295,PER
1,235.43982800391402,237.52739036991454,PIA
2,133.15415481908056,126.78739370205129,PER
3,228.65101614808927,238.66904249344825,PIA
4,195.07958099331395,192.99971026607219,PER
5,246.01911179744107,250.20658609128748,PIA
6,231.8291563445421,234.93683602153754,PIA
7,260.6174989019734,252.9051329974327,PER
8,287.0515511203078,291.2274993277574,PIA
9,202.97111049142856,211.16304148663772,PIA
10,207.39061656971904,197.53848962609052,PER
11,268.83035595663796,273.2022335810468,PIA
12,212.92607900154195,218.51444450209715,PIA
13,248.95251418891445,253.99530131065438,PIA
14,291.7124926254994,292.000465369166,PIA
15,308.0189765101449,306.85761543492066,PER
16,305.438027981118,305.7680218754601,PIA
17,217.01313465288325,206.3184883070707,PER
18,261.3380623406338,258.6694151789096,PER
19,295.2432439674459,294.0288336563912,PER
20,310.4169283980381,309.2434691523666,PER
21,309.8635750472934,307.8654435031056,PER
22,152.8087752456242,152.10289495258013,PER
23,232.95314380695748,228.88719513088463,PER
24,285.71928675897436,284.3174389762465,PER
25,296.49999872,296.46333354666666,PER
