Minisector,VET,BOT,Fastest
0,279.6706956934336,278.4121412873231,VET
1,247.77306091376224,232.1457918046056,VET
2,115.52830572031478,114.01567091922452,VET
3,188.71971629386198,193.78989404165344,BOT
4,184.45662260929674,176.0384148615212,VET
5,211.87487998250157,217.64054244174477,BOT
6,278.0395533826194,277.20556493058587,VET
7,295.6133606781784,295.6850956546151,BOT
8,197.1575423892449,184.65186306740569,VET
9,130.65167576431094,131.16820335131516,BOT
10,129.33973967400476,134.9777984265422,BOT
11,188.46699422567565,192.70353048318466,BOT
12,228.995156725092,222.43067645117677,VET
13,132.6959165199423,133.96443858559215,BOT
14,161.21646555894876,152.6540674597698,VET
15,118.96343303743292,125.62517111279172,BOT
16,254.3361703889091,256.2675476717104,BOT
17,151.72317308959452,140.37217832989413,VET
18,196.1445417362642,203.64021720651175,BOT
19,137.5323671854081,132.29656700995073,VET
20,155.11659345973533,148.20019614798838,VET
21,124.80216050606974,128.22674653222768,BOT
22,139.5253438034067,147.83520303766159,BOT
23,217.31602605128208,220.7196287317745,BOT
24,233.01373781560562,232.86506852727894,VET
25,264.2166656,,VET
