Minisector,MAG,PER,Fastest
0,301.90717949307793,304.4073270843296,PER
1,319.7908856,324.2342794855666,PER
2,328.82307184782337,334.3386044033229,PER
3,329.41893596190477,332.82603174603173,PER
4,165.4460521379686,170.6745408218761,PER
5,201.6757055723257,200.41471329683753,MAG
6,239.47089532000717,233.0379644197095,MAG
7,263.14590147018185,262.72304699753033,MAG
8,278.766353433263,267.76005683885785,MAG
9,164.43131552099797,161.46133335239952,MAG
10,225.17303662667,227.66843357045323,PER
11,142.85055870402513,136.7711885731218,MAG
12,217.9147386939635,214.97883823640993,MAG
13,208.15393338023668,194.76912158887185,MAG
14,206.7489084920364,207.67188500871424,PER
15,248.9242547711956,238.6595570293689,MAG
16,255.30936113586614,249.84777562120865,MAG
17,281.58068305302413,282.00744271243434,PER
18,157.1387280693808,143.24563069571545,MAG
19,153.34087258317157,162.0286590055783,PER
20,141.8873854632165,143.239243752946,PER
21,173.21671268840933,157.33117352144393,MAG
22,118.42022408688845,120.38734057713,PER
23,217.81339138669216,224.86744943889133,PER
24,268.5274921945227,269.1458066567117,PER
25,281.48333226666665,,MAG
