Minisector,RUS,HAM,Fastest
0,286.93916974288334,287.7378309733333,HAM
1,289.71378085361505,291.76893220845074,HAM
2,162.48103796727042,163.9699065948498,HAM
3,222.24234030137566,216.64354746219868,RUS
4,271.11012208763856,270.4048191518954,RUS
5,291.40009959394956,290.9133166243137,RUS
6,295.12267846597945,292.404794840648,RUS
7,163.9980721671499,162.16731153245732,RUS
8,123.88329692130621,123.38563723602401,RUS
9,253.5061810953623,248.56075829714285,RUS
10,283.40369762666666,285.83217195909884,HAM
11,296.9421284088889,294.34687384500467,RUS
12,151.52374812420084,134.0485559143086,RUS
13,188.31201719536492,195.28698430608472,HAM
14,254.6922987980724,255.23809458162577,HAM
15,201.46313216646465,194.69250502726092,RUS
16,209.22620101383387,216.53822494926408,HAM
17,214.68043350588235,206.1398338043876,RUS
18,236.37850231025195,244.83896313566137,HAM
19,273.6238534367291,278.3300436398413,HAM
20,294.55042782497503,294.63562728654966,HAM
21,263.1791552195139,250.4286672604177,RUS
22,218.47436277598544,208.3682739038384,RUS
23,204.99386098924768,207.26503329866668,HAM
24,261.77294164462586,264.5742473955556,HAM
