Minisector,LEC,ALB,Fastest
0,276.26880063635303,270.0180205203021,LEC
1,295.21686850030454,289.2386081079039,LEC
2,301.31587190075606,296.98177066666665,LEC
3,126.92165825186075,130.2187350197516,ALB
4,200.40714648398918,196.184373637954,LEC
5,259.87790198986494,254.3483771537241,LEC
6,139.056372207406,141.2787985167601,ALB
7,208.72817060703466,207.74580444241985,LEC
8,261.9954518207464,259.79388515911063,LEC
9,284.09958335636543,281.7237368740083,LEC
10,241.07137060474219,232.36618520941383,LEC
11,178.92758966075857,179.93545732067307,ALB
12,194.99676032845923,191.63137323475985,LEC
13,145.13977970135278,145.8399407837905,ALB
14,177.51090074354735,175.69707118774818,LEC
15,162.10995599693925,162.2837571580799,ALB
16,220.54061993312177,217.90976516130624,LEC
17,235.93268702058282,235.90191846699523,LEC
18,244.8335460808123,241.854776287389,LEC
19,239.51776410598228,236.6420153221105,LEC
20,146.13685938978742,146.51191328859818,ALB
21,133.72555286620965,134.56380455290417,ALB
22,171.52014926712,172.1020374790466,ALB
23,149.67204534671842,152.4364455686419,ALB
24,234.26003353532292,229.94107788177217,LEC
