Minisector,NOR,HUL,Fastest
0,256.0258425892421,253.7697818669815,NOR
1,219.4291104711111,198.9211310412289,NOR
2,208.60635845121953,204.35366437248675,NOR
3,254.97757587925926,246.63541578849348,NOR
4,269.94046707678433,268.5982622708918,NOR
5,290.4280209303704,288.52230628675784,NOR
6,160.0710333003954,153.91507112065747,NOR
7,179.2797747697831,189.45380020251693,HUL
8,265.86047156221423,269.6138771220779,HUL
9,298.0235906361905,298.90265620109176,HUL
10,310.24657505619706,311.12383404498314,HUL
11,313.0848212503704,312.9477865268262,NOR
12,117.73519555626284,107.47785048350595,NOR
13,185.8269131817344,184.54736317818723,NOR
14,268.5752185396825,272.4648499857865,HUL
15,294.63360844879816,309.1037533795547,HUL
16,302.49833333333333,323.5887813805195,HUL
17,191.09225170493508,191.45683348620483,HUL
18,222.1303346982313,213.11581648683762,NOR
19,272.5963526250292,266.2412760870987,NOR
20,146.24462385738707,160.86776350608125,HUL
21,142.86658578051558,137.04309525503356,NOR
22,217.78814999558097,203.83345933480254,NOR
23,234.03343650841012,230.85024234759015,NOR
24,161.4220758711496,153.3938441062159,NOR
25,224.85499776,222.56272319708143,NOR
