Minisector,TSU,LAW,Fastest
0,307.73514290962964,308.3658337653231,LAW
1,182.0523303774638,179.28800872615386,TSU
2,113.89221935117502,107.15143637167611,TSU
3,202.33837284749313,200.83366485768994,TSU
4,257.3370161149783,256.30085207325584,TSU
5,285.3814140928427,283.3102023332213,TSU
6,298.97192746638416,298.824034058836,TSU
7,228.60844720734198,234.30742152507938,LAW
8,146.0070793047453,143.35614229402597,TSU
9,230.97204285778537,232.98937488300143,LAW
10,269.58102457102757,268.56601494,TSU
11,222.4534770991023,218.3497693382521,TSU
12,174.3669419675118,175.61516254857142,LAW
13,106.46772835290469,102.80973641068418,TSU
14,108.60365504665735,105.43092162119612,TSU
15,133.1234501193925,130.71129112810746,TSU
16,115.28214700254544,118.21195092400457,LAW
17,202.25587498259642,205.2215242985862,LAW
18,160.04442343160585,144.9944968443598,TSU
19,145.60984577610873,159.36839222695116,LAW
20,239.14316779891544,245.4454026365714,LAW
21,273.3490882207511,274.06977964800046,LAW
22,291.49785248085703,291.62538143666666,LAW
23,299.93010428663104,300.5347916602469,LAW
24,305.1897058635294,304.5813340329412,TSU
