Minisector,HAM,RIC,Fastest
0,273.79089511073386,273.90329634646906,RIC
1,289.60054292268376,291.1231061818182,RIC
2,224.0494097715,222.7797265736563,HAM
3,133.57981578533315,129.60509225086523,HAM
4,186.4806673202878,186.31332673414,HAM
5,125.86287764483005,123.99268717925183,HAM
6,212.50847029333332,211.99190279941115,HAM
7,265.89732049882406,262.3931652878894,HAM
8,186.6528033063782,186.08062674598165,HAM
9,183.3690630993753,179.65915479819282,HAM
10,264.09068247453416,259.74190765262813,HAM
11,192.75345730331827,191.4492114880784,HAM
12,168.91007230607394,165.5365106018978,HAM
13,256.6732640284792,253.99231951765762,HAM
14,272.48778437432713,270.0650323390147,HAM
15,286.9172149984753,282.9257248,HAM
16,209.76315709460317,209.39787049102358,HAM
17,204.80153925124233,198.28125026666666,HAM
18,247.39320849382716,243.5428906288577,HAM
19,282.86261394819354,281.5126816463768,HAM
20,293.03939374545456,292.2867933852387,HAM
21,211.0667981551594,210.35530046830203,HAM
22,154.1966769417944,144.3422874889989,HAM
23,164.60127067517965,159.02946428495162,HAM
24,227.25946109688013,222.25684346465047,HAM
25,260.31380698012947,260.4166670222222,RIC
