Minisector,BOT,HUL,Fastest
0,279.44184466285714,287.39059572571426,HUL
1,223.35998503366883,218.46894556227238,BOT
2,118.41569999195087,113.83454561697941,BOT
3,201.92637973919412,199.57227655384617,BOT
4,177.08501293697682,169.34433585581158,BOT
5,223.98586801587302,229.97648858412697,HUL
6,279.0992778580433,293.3752631456996,HUL
7,297.2196758518519,315.998326,HUL
8,179.2824904634764,169.1259998866935,BOT
9,129.04684638773304,121.97016858189508,BOT
10,139.54348335238095,135.3802157346635,BOT
11,201.68131449438474,200.8612283189954,BOT
12,213.61816686933332,205.96952127732055,BOT
13,136.16478594663226,131.07872138927846,BOT
14,144.6059949196094,142.90100810548793,BOT
15,136.1834287857305,132.64791530832937,BOT
16,258.73848172550515,268.0462497066667,HUL
17,140.14462208977437,131.8135704647619,BOT
18,206.35019349319123,206.52743293271834,HUL
19,135.08437046093158,124.4204921460603,BOT
20,144.45999854898525,144.45116184938647,BOT
21,127.43728133636068,125.40747198007111,BOT
22,158.3332374560638,155.2941704727885,BOT
23,228.30711795555555,219.52800007051215,BOT
24,244.70693957877532,236.17857142857142,BOT
25,,270.48571794285715,HUL
