Minisector,VET,LEC,Fastest
0,257.9276683515969,256.59767523266186,VET
1,209.16843031146612,198.57503664765346,VET
2,224.6537047440734,221.9789826940115,VET
3,264.25234673017945,263.0135812838626,VET
4,274.05459357886053,276.62713620666403,LEC
5,224.2869444523298,220.55879991929052,VET
6,96.14883534292294,95.64795254729611,VET
7,192.07514562716068,186.0331395788788,VET
8,283.2963365283513,277.80128997381615,VET
9,309.20256779327053,302.90931325956126,VET
10,318.8476818568483,314.7380681756682,VET
11,318.4551471619265,314.4335483307435,VET
12,106.44930951639718,107.32318200347498,LEC
13,218.48098449509038,217.78079028981793,VET
14,280.6267052812078,281.3240857607451,LEC
15,300.58665099871973,299.48067813221513,VET
16,242.75593653870965,219.6464955711439,VET
17,125.09496739771026,123.50512587115992,VET
18,152.74876403143608,149.15947091534562,VET
19,257.12623357698163,256.26149077128446,VET
20,155.82148814895788,146.05203833272964,VET
21,128.47579147079378,125.26394243449545,VET
22,207.3349270904174,200.71088553880162,VET
23,209.62152599788712,192.44906094753028,VET
24,169.94519340639656,164.94064154084276,VET
25,232.69583146666668,,VET
