Minisector,PER,ALB,Fastest
0,274.4275956158454,276.20412872093516,ALB
1,297.92358502871696,299.2438947866932,ALB
2,297.51162034962965,295.6812210940741,PER
3,168.77655094682206,167.13056476466807,PER
4,116.95186399680249,117.66492894776935,ALB
5,233.82993752427245,239.48491174460435,ALB
6,283.7166297035294,295.76734345456094,ALB
7,298.7048478293333,312.324110385852,ALB
8,185.3298538193005,167.6836929886803,PER
9,134.71821896239996,136.60785738842623,ALB
10,244.5512600239863,248.31646450864048,ALB
11,285.8683276486003,288.935539429418,ALB
12,298.5371599129252,301.28522403755994,ALB
13,282.6157917156275,274.109826151232,PER
14,292.199411101998,294.7056818327273,ALB
15,295.377440792381,294.15733974455026,PER
16,259.3749096069565,243.4603207129502,PER
17,227.90773012742324,223.30353426359272,PER
18,273.8811741221978,287.6810030914361,ALB
19,295.3522773047695,318.8458286597577,ALB
20,296.27153321743145,323.819408957193,ALB
21,240.5517531867351,217.12693744520752,PER
22,259.4654071626877,257.17330405033186,PER
23,139.7467999710826,127.06157138934783,PER
24,206.49815432527126,210.95769134891674,ALB
25,252.6875008,,PER
