Minisector,VER,MAG,Fastest
0,303.05666678303027,314.8097686583235,MAG
1,257.992856431746,253.5461676488,VER
2,199.68816607810137,196.08981203610549,VER
3,265.47665068051947,264.46833531333726,VER
4,232.7943913698237,227.72543174658458,VER
5,120.75384998829102,116.7455462058141,VER
6,181.78703893692278,178.72648902813975,VER
7,258.9434609527308,258.7881056408632,VER
8,291.6561984088598,288.6613390187824,VER
9,306.7149802920635,301.5108309637411,VER
10,314.0278509313283,306.6964435251764,VER
11,226.65566623452096,221.65220553361232,VER
12,151.96545854345146,147.1496701267491,VER
13,260.92808283514574,259.2994452138653,VER
14,293.375568504146,288.00439322993196,VER
15,306.06925600761906,288.25435146142087,VER
16,304.00189988193165,286.87896368955427,VER
17,266.44283758412695,255.82640488924415,VER
18,185.6520097078296,185.4018428495495,VER
19,185.50801284561447,182.88422415991477,VER
20,185.7647197044733,186.94011808657842,MAG
21,250.37579417859507,248.81534513049348,VER
22,126.69624430089479,125.18372365797902,VER
23,197.31460459174602,208.41708846765096,MAG
24,279.0044360587454,276.63242410619523,VER
