Minisector,SAI,BEA,Fastest
0,273.71718495731096,275.261686188176,BEA
1,117.47268617821754,125.72208120218143,BEA
2,159.12643915299103,163.4449149103705,BEA
3,202.01090317374522,201.49213202303366,SAI
4,153.98010749392776,156.32273345098287,BEA
5,235.35774270712497,228.18165961645346,SAI
6,204.79076829065255,194.77533518331506,SAI
7,135.11620488355217,130.3720039807664,SAI
8,241.9111111111111,241.90376560561808,SAI
9,282.73329142435176,281.61996385753315,SAI
10,279.045866646813,284.77069264069263,BEA
11,149.6681766698177,148.4369319386174,SAI
12,225.02703040439673,212.6537385439728,SAI
13,276.2042271454036,273.62085163559686,SAI
14,254.1073119504029,263.589161642567,BEA
15,100.44946522638851,97.98538304562513,SAI
16,226.17687514974668,224.81874885520446,SAI
17,288.3043067226891,285.33301240261375,SAI
18,310.1237873117147,309.1012275333333,SAI
19,308.95287609558443,310.4793650793651,BEA
20,302.85141329258977,303.05065196916104,BEA
21,278.0276780988184,281.34079850784894,BEA
22,155.15443236482295,156.37689937259026,BEA
23,243.63456012803567,230.93838259007518,SAI
24,276.96378503120116,278.016281512605,BEA
25,281.43333333333334,282.0,BEA
