Minisector,LEC,HUL,Fastest
0,275.0548455687716,276.58203174015955,HUL
1,297.34907350187035,295.81086846245455,LEC
2,296.2485000472381,294.06213161126175,LEC
3,190.88870855434644,187.24293529128292,LEC
4,122.52071085973476,123.27955691886905,HUL
5,237.13531961915217,238.859811372043,HUL
6,286.0929350796524,284.59656874508613,LEC
7,302.99023351414485,290.36746802051283,LEC
8,175.1882894781789,179.19194959070674,HUL
9,139.61132859512065,141.46638034051148,HUL
10,251.22409971453234,251.7498623079108,HUL
11,287.57086833417253,287.0564842431952,LEC
12,297.96842073129045,300.5828158767175,HUL
13,279.6836418765432,286.869333248,HUL
14,301.6662482795995,300.62132906666665,LEC
15,306.17567660900477,305.84119657807054,LEC
16,254.13051964936608,256.90341090328883,HUL
17,215.48225551521534,224.67239246185852,HUL
18,279.6443337216887,281.0660343466289,HUL
19,306.6838766376812,303.78027777777777,LEC
20,314.7829969358178,301.5163461505437,LEC
21,217.6635715148399,226.0028414527991,HUL
22,258.227033231746,256.03483183633153,LEC
23,136.62706623546507,138.2681047943879,HUL
24,210.48847401521303,216.04081657703293,HUL
25,257.18749866666667,,LEC
