Minisector,VER,BOT,Fastest
0,286.5438667929051,290.27222186666665,BOT
1,296.0463769043478,296.63405801739134,BOT
2,285.9299633073819,292.334680089441,BOT
3,119.28146519910611,122.30403811310345,BOT
4,221.0231201032258,225.22978590081556,BOT
5,273.5369121461883,275.76045471801245,BOT
6,228.02110755555557,228.4743537746745,BOT
7,161.9495100261932,165.95273685333333,BOT
8,217.65238032380952,220.6722907997671,BOT
9,221.21885651247146,233.88903116190477,BOT
10,122.84848295110257,123.88673459608187,BOT
11,223.25206422349208,230.84446063506462,BOT
12,128.31904192529282,128.81566751929856,BOT
13,225.18311708444443,228.8845222704762,BOT
14,277.6345719832381,280.2339224990637,BOT
15,231.0734847074996,228.0817233204301,VER
16,192.75490321568628,199.43344037183795,BOT
17,245.95637925910884,257.7246661973333,BOT
18,210.9526863139785,222.1441757240255,BOT
19,182.2806443995327,180.97837676396398,VER
20,263.8660497414319,263.488398090783,VER
21,285.3433841856502,284.804666624,VER
22,181.90889112471663,184.44361042449884,BOT
23,214.12619252596008,214.1833312,BOT
24,268.7772049759504,269.59753115462155,BOT
25,,282.9142857142857,BOT
