Minisector,VET,VER,Fastest
0,265.98218536769076,259.9925980052481,VET
1,135.91671917497592,134.75549646380196,VET
2,264.66343350217363,264.36411456809213,VET
3,305.1273004746085,306.49683317638096,VER
4,303.70749994666664,303.66238416296295,VET
5,309.7817708,312.03592575303577,VER
6,313.84751158306875,318.10625,VER
7,315.03478265507243,318.0492452967903,VER
8,213.4068847814672,199.46355549903652,VET
9,201.9285391814672,206.82818839605974,VER
10,190.3242525262014,183.2556957206932,VET
11,164.51781062788112,169.44295088753503,VER
12,253.94535719619046,256.7351997057471,VER
13,280.07109350174346,280.46733735430996,VER
14,283.9392857494505,282.96570465641025,VET
15,282.494443784127,277.4746448251363,VET
16,187.79441368273712,187.52644853296593,VET
17,197.30267045559845,193.76218798857144,VET
18,244.65635755548746,247.43857186426993,VER
19,291.1169287619048,290.8035250051282,VET
20,309.82458573760186,312.1991316888889,VER
21,316.17088000764335,319.3965838045549,VER
22,316.3083580888889,318.75907727619045,VER
23,271.65444486097437,239.81909023369238,VET
24,117.86588611666667,118.71137016296255,VER
25,230.93333333333334,,VET
