Minisector,SAI,RUS,Fastest
0,289.37292227004644,287.8369932214665,SAI
1,294.04415967764174,293.1511597339194,SAI
2,164.49318579584414,163.48729003803987,SAI
3,222.4966237254266,221.70419113771732,SAI
4,272.5368343500891,268.5893458680112,SAI
5,294.79752801313873,289.00896892026145,SAI
6,299.14351833563813,298.04765453605444,SAI
7,163.6775341968254,163.10405229714286,SAI
8,121.97924510788319,126.29149908396222,RUS
9,246.16806540511277,246.2071954225037,RUS
10,284.4892954588002,280.61389742406857,SAI
11,293.8235819966984,292.7569993386667,SAI
12,145.69592878627705,141.40912919235012,SAI
13,195.26049586016688,186.18530447171844,SAI
14,255.02237587978638,252.76577093437294,SAI
15,201.10095664315537,205.2280218744179,RUS
16,211.67122522220606,208.98189903417492,SAI
17,207.73847386551225,209.29313426136062,RUS
18,238.42891473568628,235.30054644875423,SAI
19,277.26850746074075,272.2272355316369,SAI
20,293.00035778585857,291.3992158512045,SAI
21,257.54552503510206,262.3317130195128,RUS
22,221.87151061773105,221.77256877005962,SAI
23,207.25886701511112,206.60795610389613,SAI
24,265.6142982866121,260.597632138005,SAI
25,,277.63500288,RUS
