Minisector,PIA,SAI,Fastest
0,259.31056469960225,256.69918803859986,PIA
1,130.4513662348753,135.44197617131312,SAI
2,198.8840184152381,202.83158917746172,SAI
3,248.42780208586905,247.2824914422439,PIA
4,257.9486094177499,256.6403754805195,PIA
5,175.25995559546487,178.9676527925019,SAI
6,142.87795292536208,149.91850674699938,SAI
7,183.1948983103855,183.1614394375065,PIA
8,101.82980234772879,103.01513594823992,SAI
9,69.45099618545703,75.01329342206746,SAI
10,93.19021221136956,92.63535811103493,PIA
11,182.5957736182857,189.7391888838095,SAI
12,243.67084433886114,245.0092561235209,SAI
13,269.559938416459,270.72904273038097,SAI
14,274.8040012994687,275.82099191794873,SAI
15,113.97275405609935,105.16481880630181,PIA
16,151.10136765835048,158.11447069061225,SAI
17,184.77410980078227,189.962677047873,SAI
18,201.84922968055002,203.37466561284782,SAI
19,205.4022228454902,215.85422526162463,SAI
20,136.45800176488513,141.5679961004329,SAI
21,108.14458452653595,105.12172034127077,PIA
22,96.20420123716404,97.76671209162964,SAI
23,197.46995666240898,201.41443293946523,SAI
24,251.18051524155487,253.684412205874,SAI
