Minisector,GAS,LAW,Fastest
0,265.45119557023065,266.1112676616462,LAW
1,248.8948838233766,245.68816444210026,GAS
2,118.07919362762733,116.82403325004103,GAS
3,163.99719887899337,168.03692894362342,LAW
4,187.7877029169665,187.97320432243595,LAW
5,194.71073772464072,189.83289055981186,GAS
6,262.9821328872727,264.4536625240931,LAW
7,284.7467412123077,284.78332334708193,LAW
8,226.62803010986667,239.46535989863352,LAW
9,140.52844004734078,143.06043736040635,LAW
10,113.6596240837577,110.07305807846775,GAS
11,151.2805177468476,149.06848687891204,GAS
12,240.53971995844157,240.50269104669036,GAS
13,150.43472642573585,148.1695514023945,GAS
14,141.79149706244382,140.5396326476462,GAS
15,109.5824383173502,100.38191762649903,GAS
16,215.15665183183097,210.31413283805742,GAS
17,229.25731395230477,227.64032416050122,GAS
18,125.38009753809524,123.52245292044863,GAS
19,240.1440981342126,240.61135991093028,LAW
20,273.4258487260212,274.40367937176273,LAW
21,204.39159026997848,206.11684236131296,LAW
22,139.61840604562482,138.16783481010398,GAS
23,215.48850996552093,206.66821591892412,GAS
24,224.64737253785134,218.806417071688,GAS
25,,249.9874485054531,LAW
