Minisector,VET,RIC,Fastest
0,257.9276683515969,253.7993064002867,VET
1,209.16843031146612,204.00871146706632,VET
2,224.6537047440734,220.53360347040993,VET
3,264.25234673017945,262.3168484957945,VET
4,274.05459357886053,275.20459673444225,RIC
5,224.2869444523298,223.6724128639586,VET
6,96.14883534292294,99.16231164448804,RIC
7,192.07514562716068,186.53881121880167,VET
8,283.2963365283513,268.8846696006417,VET
9,309.20256779327053,291.7484310189974,VET
10,318.8476818568483,301.4765281635119,VET
11,318.4551471619265,300.7776861071241,VET
12,106.44930951639718,116.84760504828942,RIC
13,218.48098449509038,215.179227753094,VET
14,280.6267052812078,274.1062901571746,VET
15,300.58665099871973,293.9452026829548,VET
16,242.75593653870965,226.4027719962829,VET
17,125.09496739771026,124.20267124192019,VET
18,152.74876403143608,154.4206618139208,RIC
19,257.12623357698163,251.09356127357637,VET
20,155.82148814895788,157.17287459352673,RIC
21,128.47579147079378,130.30853297034287,RIC
22,207.3349270904174,204.9224356747838,VET
23,209.62152599788712,208.09566435038457,VET
24,169.94519340639656,168.97809822190823,VET
25,232.69583146666668,,VET
