Minisector,PIA,LAW,Fastest
0,294.8250775026455,288.6241506865359,PIA
1,300.53209557909224,294.34830507774893,PIA
2,161.56704089489176,153.17403577998093,PIA
3,223.30760598152125,220.85106472568665,PIA
4,279.1006942532628,268.19302005491653,PIA
5,309.90722572284466,289.4980530800907,PIA
6,318.2020384866558,300.31959827918365,PIA
7,163.84423013398268,161.61665164369333,PIA
8,134.52900933754086,134.89437175096361,LAW
9,254.70982395705627,248.51355840870747,PIA
10,298.37084754294443,283.04449104617606,PIA
11,307.4201771228466,288.21515258753493,PIA
12,142.92263831283287,134.42028472872195,PIA
13,190.7451268718198,202.8921910962514,LAW
14,256.60525914164805,256.8422677291775,LAW
15,201.21151215901244,192.44870745961921,PIA
16,218.096707776,214.6418147778355,PIA
17,219.2154326010158,208.33030331486984,PIA
18,248.26233265198096,241.1629743751959,PIA
19,279.65342496925285,274.40344298609625,PIA
20,295.2196364362696,291.08122557699346,PIA
21,260.40965069485713,254.96044066730462,PIA
22,222.38201312137,212.05911791897154,PIA
23,205.0471583040747,198.58895658757433,PIA
24,270.5443159563772,261.0596276306173,PIA
