Minisector,OCO,VET,Fastest
0,279.86370044725874,279.70946879927953,OCO
1,297.9464976854391,296.9842714388993,OCO
2,295.58869395142494,296.4040194598194,VET
3,180.57524498512896,170.5234730978029,OCO
4,125.18968731768584,121.86425860361953,OCO
5,239.70779059450837,240.26850407217162,VET
6,281.04088650957436,282.8295671794872,VET
7,286.9229962153846,293.2872867903224,VET
8,184.18392407013394,182.45546270050647,OCO
9,150.53522588240187,143.514234712902,OCO
10,255.618535245977,253.8386644371074,OCO
11,290.81256199905766,290.9347854701397,VET
12,298.88100154920636,300.6048994707612,VET
13,277.2278661135802,277.41272725135445,VET
14,295.53595015873015,294.4872718676415,OCO
15,295.08237027962724,297.908166784,VET
16,256.7184084595168,257.649535895751,VET
17,227.57500317138962,222.2782199730868,OCO
18,276.0802495584775,275.3409693097004,OCO
19,296.6886294685896,296.9207588417179,VET
20,293.55456809565237,302.3390202678614,VET
21,236.65099652746753,232.31483441918246,OCO
22,259.6275276736556,259.49972007545364,OCO
23,144.25616557687118,140.9104883928625,OCO
24,223.64078442444256,214.88069000375307,OCO
25,,260.73333333333335,VET
