Minisector,SAI,BOT,Fastest
0,292.7017977331966,287.46125376394696,SAI
1,303.31094717018635,297.34106397645763,SAI
2,278.5200599982222,274.67417466758457,SAI
3,104.5800847575543,109.3312127466891,BOT
4,214.9510803697598,220.07746828926633,BOT
5,268.6117906160951,264.12637051289386,SAI
6,211.38907978748455,209.89528626358052,SAI
7,154.90140896235872,159.8508062634077,BOT
8,194.55349104544763,201.3291858802721,BOT
9,213.8298666452353,211.2514989552842,SAI
10,113.98055691754881,120.00451489443735,BOT
11,226.20185363337592,222.10789095281507,SAI
12,111.34136303612358,115.25429788972316,BOT
13,217.83034665467773,219.247145312264,BOT
14,272.9078847022827,268.5785121339739,SAI
15,222.09605263248645,212.02442367140125,SAI
16,190.12560934571428,180.83950204975469,SAI
17,234.9819247153439,244.61106678050945,BOT
18,192.6888721575673,197.26322358405395,BOT
19,183.80253561151858,184.41342120256368,BOT
20,262.6583915801278,259.20124743173153,SAI
21,290.2164440482801,282.75862510285714,SAI
22,165.418644815365,163.4009990768211,SAI
23,204.41087086897122,205.59453867554743,BOT
24,271.6428623632874,267.43383330298747,SAI
25,285.78363346761796,281.72,SAI
