Minisector,PIA,OCO,Fastest
0,290.41053708246915,287.9617561362963,PIA
1,299.24690127058824,297.3317227670588,PIA
2,303.08697476302524,302.2745580958337,PIA
3,296.1307587994771,297.44718467111113,OCO
4,165.90274750505708,166.67657229786496,OCO
5,205.17029838910057,204.85580417168254,PIA
6,230.1921349248,238.40173980120605,OCO
7,266.3855902482946,266.7879963530159,OCO
8,246.84451096596786,251.49273367563637,OCO
9,162.38836555396804,158.47740526301587,PIA
10,223.45081957225028,227.44858898020703,OCO
11,129.11059555835624,125.97531928055966,PIA
12,228.17252329416638,221.52275595681922,PIA
13,175.6394211937053,172.28187722071428,PIA
14,213.2835261511185,209.32989249514043,PIA
15,239.67917414920973,237.6968749726316,PIA
16,261.65666574222223,259.5577626214515,PIA
17,284.9667233016002,281.75631008903576,PIA
18,161.3433305270242,149.29683361427976,PIA
19,166.16642093687898,158.5441927834868,PIA
20,138.5309596853633,134.68302291767907,PIA
21,229.53011928533334,224.97400555461698,PIA
22,260.2691331099385,257.8209804414833,PIA
23,251.1191298426374,245.32589087547476,PIA
24,273.0356446816803,269.9433143725688,PIA
25,,280.8291658666667,OCO
