Minisector,PER,GIO,Fastest
0,100.27035316906012,208.9858216336803,GIO
1,120.76656966227941,217.28452032979817,GIO
2,189.63491629439122,173.88741463945578,PER
3,142.5968046920508,229.59625155847002,GIO
4,129.3909322830832,271.44317686153846,GIO
5,215.85840634285714,296.8265909057039,GIO
6,239.64725357313034,314.2223471515151,GIO
7,129.5055727477456,322.559469769697,GIO
8,135.20892907415242,203.02558426994784,GIO
9,197.18333333333334,136.26862041873446,PER
10,236.69810921785898,216.31833052444443,PER
11,254.97193283516484,262.6748343746455,GIO
12,217.0630094664611,289.87980717948716,GIO
13,226.0211111111111,308.85376565248987,GIO
14,102.02368687766473,320.392423660606,GIO
15,148.5938923395445,323.15174776214855,GIO
16,84.57417919123802,262.2403887120879,GIO
17,130.10580974291622,87.8622617720706,PER
18,172.76270890666666,162.76319222857143,PER
19,184.64729308158084,242.10026099324324,GIO
20,196.0135760044645,279.27585056969696,GIO
21,208.15472328571428,301.15360982278185,GIO
22,162.22218500082093,313.02840911515153,GIO
23,81.04996175836962,290.68680675555555,GIO
24,113.35046230030453,133.86013509911214,GIO
25,,141.587307904,GIO
26,,228.51694343111112,GIO
27,,260.80877321510417,GIO
28,,218.2963373231696,GIO
29,,161.9546262164502,GIO
30,,210.4633415914755,GIO
31,,215.64579569209212,GIO
32,,182.10372783157896,GIO
33,,227.92040390936612,GIO
34,,260.0330112820513,GIO
35,,279.6285955551932,GIO
36,,293.3987174564103,GIO
37,,301.4866666666667,GIO
