Minisector,ALO,SAI,Fastest
0,279.4012531496013,280.4887969924812,SAI
1,129.3110914281704,119.68403415078883,ALO
2,154.3418028358773,161.28181621635576,SAI
3,206.75067296256532,208.63514748014651,SAI
4,165.9950696784849,158.50930831315787,ALO
5,242.73875995787117,243.01980434521465,SAI
6,220.04709686176048,202.98192376772505,ALO
7,132.7959509094466,132.76403963291344,ALO
8,232.71748408380952,232.94274214119426,SAI
9,274.97063267506724,274.4775092191759,ALO
10,284.5215125252149,282.37923504358616,ALO
11,150.9588441407898,147.7218943047619,ALO
12,216.40438204225148,215.67071432727272,ALO
13,266.66661298023496,268.15204244176215,SAI
14,264.100819441552,256.76507425989075,ALO
15,101.24368694741702,99.64285031963003,ALO
16,213.42090535996994,219.4457016813328,SAI
17,269.18329043666273,270.03774441142855,SAI
18,289.7771648194211,292.2492945580247,SAI
19,300.4487514969705,304.27703753673603,SAI
20,304.1656862745098,310.19845941064426,SAI
21,284.3120300203654,280.8082544506868,ALO
22,151.45840586080237,147.86321988238757,ALO
23,232.45398366766744,232.30047898701298,ALO
24,275.4656510430461,276.71349792232814,SAI
