Minisector,BOT,MAG,Fastest
0,286.57396796350207,285.8623621657416,BOT
1,297.5678578387825,296.34627388903664,BOT
2,301.8479765307815,301.17418147817733,BOT
3,297.4889376829348,298.9176599012063,MAG
4,185.95233262385486,192.27141248231163,MAG
5,211.44972942311426,209.30381682590476,BOT
6,261.8965232951227,261.89412352617626,BOT
7,256.33726906896396,262.3612587925466,MAG
8,181.498935364586,183.62919032622148,MAG
9,146.22633978334886,149.61357700609227,MAG
10,190.95263999849502,180.37345759333593,BOT
11,254.70444573835314,256.2927561594333,MAG
12,237.5318345449928,244.8597247987011,MAG
13,223.42573750872666,217.52737568914287,BOT
14,264.5397956631111,263.46850041168506,BOT
15,167.41271048807448,168.25897202015653,MAG
16,218.08012402402932,217.26623233510645,BOT
17,233.4981756022857,237.06421974718614,MAG
18,139.91601379097003,130.5147294300534,BOT
19,236.58102277211873,243.45333293389436,MAG
20,272.191407056,275.0734024304762,MAG
21,235.48627422849881,247.5063916743607,MAG
22,139.90755522347283,135.83990098490546,BOT
23,207.81040879253422,201.27511059633235,BOT
24,265.3894998449373,262.9190378057913,BOT
25,,278.47499946666665,MAG
